t_sec,x_m,y_m,z_m,scale
7401.024473,-0.128321,-0.089326,0.987702,0.000000
7401.035821,-0.128321,-0.089326,0.987702,0.000000
7401.049580,-0.128321,-0.089326,0.987702,0.000000
7401.058243,-0.128321,-0.089326,0.987702,0.000000
7401.065257,-0.128321,-0.089326,0.987702,0.000000
7401.073382,-0.128321,-0.089326,0.987702,0.000000
7401.080693,-0.128321,-0.089326,0.987702,0.000000
7401.098868,-0.128321,-0.089326,0.987702,0.000000
7401.106799,-0.128321,-0.089326,0.987702,0.000000
7401.113907,-0.128321,-0.089326,0.987702,0.000000
7401.125035,-0.128321,-0.089326,0.987702,0.000000
7401.138867,-0.128321,-0.089326,0.987702,0.000000
7401.145977,-0.128321,-0.089326,0.987702,0.000000
7401.152985,-0.128321,-0.089326,0.987702,0.000000
7401.165563,-0.128321,-0.089326,0.987702,0.000000
7401.172589,-0.128321,-0.089326,0.987702,0.000000
7401.180999,-0.128321,-0.089326,0.987702,0.000000
7401.190103,-0.128321,-0.089326,0.987702,0.000000
7401.201544,-0.128321,-0.089326,0.987702,0.000000
7401.209804,-0.128321,-0.089326,0.987702,0.000000
7401.222386,-0.128321,-0.089326,0.987702,0.000000
7401.233803,-0.128321,-0.089326,0.987702,0.000000
7401.242408,-0.128321,-0.089326,0.987702,0.000000
7401.253343,-0.128321,-0.089326,0.987702,0.000000
7401.264432,-0.128321,-0.089326,0.987702,0.000000
7401.271414,-0.128321,-0.089326,0.987702,0.000000
7401.281749,-0.128321,-0.089326,0.987702,0.000000
7401.288699,-0.128321,-0.089326,0.987702,0.000000
7401.298959,-0.128321,-0.089326,0.987702,0.000000
7401.337904,-0.128321,-0.089326,0.987702,0.000000
7401.346772,-0.128321,-0.089326,0.987702,0.000000
7401.354334,-0.128321,-0.089326,0.987702,0.000000
7401.365602,-0.128321,-0.089326,0.987702,0.000000
7401.406317,-0.128321,-0.089326,0.987702,0.000000
7401.416953,-0.128321,-0.089326,0.987702,0.000000
7401.425620,-0.128321,-0.089326,0.987702,0.000000
7401.435879,-0.128321,-0.089326,0.987702,0.000000
7401.481698,-0.128321,-0.089326,0.987702,0.000000
7401.493717,-0.128321,-0.089326,0.987702,0.000000
7401.509880,-0.128321,-0.089326,0.987702,0.000000
7401.554847,-0.128321,-0.089326,0.987702,0.000000
7401.588724,-0.128321,-0.089326,0.987702,0.000000
7401.627402,-0.128321,-0.089326,0.987702,0.000000
7401.646324,-0.128321,-0.089326,0.987702,0.000000
7401.695722,-0.128321,-0.089326,0.987702,0.000000
7401.710508,-0.128321,-0.089326,0.987702,0.000000
7401.766430,-0.128321,-0.089326,0.987702,0.000000
7401.783307,-0.128321,-0.089326,0.987702,0.000000
7401.829120,-0.128321,-0.089326,0.987702,0.000000
7401.861772,-0.128321,-0.089326,0.987702,0.000000
7401.899858,-0.128321,-0.089326,0.987702,0.000000
7401.916696,-0.128321,-0.089326,0.987702,0.000000
7401.963929,-0.128321,-0.089326,0.987702,0.000000
7401.985559,-0.128321,-0.089326,0.987702,0.000000
7402.031855,-0.128321,-0.089326,0.987702,0.000000
7402.053790,-0.128321,-0.089326,0.987702,0.000000
7402.098847,-0.128321,-0.089326,0.987702,0.000000
7402.135390,-0.128321,-0.089326,0.987702,0.000000
7402.177252,-0.128321,-0.089326,0.987702,0.000000
7402.198217,-0.128321,-0.089326,0.987702,0.000000
7402.242018,-0.128321,-0.089326,0.987702,0.000000
7402.271338,-0.128321,-0.089326,0.987702,0.000000
7402.332673,-0.128321,-0.089326,0.987702,0.000000
7402.382200,-0.128321,-0.089326,0.987702,0.000000
7402.399760,-0.128321,-0.089326,0.987702,0.000000
7402.444961,-0.128321,-0.089326,0.987702,0.000000
7402.467595,-0.128321,-0.089326,0.987702,0.000000
7402.512101,-0.128321,-0.089326,0.987702,0.000000
7402.544128,-0.128321,-0.089326,0.987702,0.000000
7402.584551,-0.128321,-0.089326,0.987702,0.000000
7402.602889,-0.128321,-0.089326,0.987702,0.000000
7402.652944,-0.128321,-0.089326,0.987702,0.000000
7402.675363,-0.128321,-0.089326,0.987702,0.000000
