t_sec,x_m,y_m,z_m,scale
7440.447636,-0.079044,-0.209316,0.974648,0.000000
7440.458981,-0.079044,-0.209316,0.974648,0.000000
7440.465675,-0.079044,-0.209316,0.974648,0.000000
7440.475520,-0.079044,-0.209316,0.974648,0.000000
7440.512205,-0.079044,-0.209316,0.974648,0.000000
7440.527840,-0.079044,-0.209316,0.974648,0.000000
7440.536224,-0.079044,-0.209316,0.974648,0.000000
7440.550935,-0.079044,-0.209316,0.974648,0.000000
7440.597726,-0.079044,-0.209316,0.974648,0.000000
7440.673178,-0.079044,-0.209316,0.974648,0.000000
7440.702670,-0.079044,-0.209316,0.974648,0.000000
7440.745582,-0.079044,-0.209316,0.974648,0.000000
7440.765766,-0.079044,-0.209316,0.974648,0.000000
7440.816277,-0.079044,-0.209316,0.974648,0.000000
7440.832719,-0.079044,-0.209316,0.974648,0.000000
7440.878690,-0.079044,-0.209316,0.974648,0.000000
7440.906524,-0.079044,-0.209316,0.974648,0.000000
7440.946182,-0.079044,-0.209316,0.974648,0.000000
7440.972810,-0.079044,-0.209316,0.974648,0.000000
7441.016693,-0.079044,-0.209316,0.974648,0.000000
7441.035752,-0.079044,-0.209316,0.974648,0.000000
7441.084639,-0.079044,-0.209316,0.974648,0.000000
7441.118165,-0.079044,-0.209316,0.974648,0.000000
7441.156557,-0.079044,-0.209316,0.974648,0.000000
7441.178529,-0.079044,-0.209316,0.974648,0.000000
7441.223665,-0.079044,-0.209316,0.974648,0.000000
7441.245732,-0.079044,-0.209316,0.974648,0.000000
7441.293555,-0.079044,-0.209316,0.974648,0.000000
7441.315544,-0.079044,-0.209316,0.974648,0.000000
7441.360413,-0.079044,-0.209316,0.974648,0.000000
7441.381188,-0.079044,-0.209316,0.974648,0.000000
7441.428841,-0.079044,-0.209316,0.974648,0.000000
7441.447450,-0.079044,-0.209316,0.974648,0.000000
7441.491131,-0.079044,-0.209316,0.974648,0.000000
7441.523883,-0.079044,-0.209316,0.974648,0.000000
7441.562792,-0.079044,-0.209316,0.974648,0.000000
7441.579293,-0.079044,-0.209316,0.974648,0.000000
7441.627982,-0.079044,-0.209316,0.974648,0.000000
7441.659274,-0.079044,-0.209316,0.974648,0.000000
7441.698211,-0.079044,-0.209316,0.974648,0.000000
7441.722888,-0.079044,-0.209316,0.974648,0.000000
7441.767079,-0.079044,-0.209316,0.974648,0.000000
7441.789252,-0.079044,-0.209316,0.974648,0.000000
7441.839329,-0.079044,-0.209316,0.974648,0.000000
7441.860131,-0.079044,-0.209316,0.974648,0.000000
7441.906869,-0.079044,-0.209316,0.974648,0.000000
7441.929126,-0.079044,-0.209316,0.974648,0.000000
7441.977077,-0.079044,-0.209316,0.974648,0.000000
7441.994184,-0.079044,-0.209316,0.974648,0.000000
7442.045280,-0.079044,-0.209316,0.974648,0.000000
7442.064665,-0.079044,-0.209316,0.974648,0.000000
7442.113551,-0.079044,-0.209316,0.974648,0.000000
7442.131389,-0.079044,-0.209316,0.974648,0.000000
7442.175790,-0.079044,-0.209316,0.974648,0.000000
7442.209423,-0.079044,-0.209316,0.974648,0.000000
7442.247866,-0.079044,-0.209316,0.974648,0.000000
7442.265299,-0.079044,-0.209316,0.974648,0.000000
7442.311171,-0.079044,-0.209316,0.974648,0.000000
7442.344173,-0.079044,-0.209316,0.974648,0.000000
7442.382820,-0.079044,-0.209316,0.974648,0.000000
7442.400983,-0.079044,-0.209316,0.974648,0.000000
7442.446572,-0.079044,-0.209316,0.974648,0.000000
7442.480266,-0.079044,-0.209316,0.974648,0.000000
7442.517479,-0.079044,-0.209316,0.974648,0.000000
7442.540682,-0.079044,-0.209316,0.974648,0.000000
7442.587499,-0.079044,-0.209316,0.974648,0.000000
7442.610194,-0.079044,-0.209316,0.974648,0.000000
7442.654813,-0.079044,-0.209316,0.974648,0.000000
7442.677494,-0.079044,-0.209316,0.974648,0.000000
7442.722678,-0.079044,-0.209316,0.974648,0.000000
7442.744040,-0.079044,-0.209316,0.974648,0.000000
7442.796179,-0.079044,-0.209316,0.974648,0.000000
7442.819642,-0.079044,-0.209316,0.974648,0.000000
7442.861867,-0.079044,-0.209316,0.974648,0.000000
7442.884107,-0.079044,-0.209316,0.974648,0.000000
7442.933267,-0.079044,-0.209316,0.974648,0.000000
7442.955778,-0.079044,-0.209316,0.974648,0.000000
7442.998440,-0.079044,-0.209316,0.974648,0.000000
7443.019559,-0.079044,-0.209316,0.974648,0.000000
7443.069020,-0.079044,-0.209316,0.974648,0.000000
7443.089584,-0.079044,-0.209316,0.974648,0.000000
7443.137744,-0.079044,-0.209316,0.974648,0.000000
7443.160796,-0.079044,-0.209316,0.974648,0.000000
7443.207186,-0.079044,-0.209316,0.974648,0.000000
7443.230447,-0.079044,-0.209316,0.974648,0.000000
