t_sec,x_m,y_m,z_m,scale
7464.423362,0.996727,-0.046593,0.066064,0.000000
7464.440205,0.996727,-0.046593,0.066064,0.000000
7464.454541,0.996727,-0.046593,0.066064,0.000000
7464.464705,0.996727,-0.046593,0.066064,0.000000
7464.480607,0.996727,-0.046593,0.066064,0.000000
7464.492583,0.996727,-0.046593,0.066064,0.000000
7464.504968,0.996727,-0.046593,0.066064,0.000000
7464.513809,0.996727,-0.046593,0.066064,0.000000
7464.536271,0.996727,-0.046593,0.066064,0.000000
7464.546949,0.996727,-0.046593,0.066064,0.000000
7464.559996,0.996727,-0.046593,0.066064,0.000000
7464.569472,0.996727,-0.046593,0.066064,0.000000
7464.581422,0.996727,-0.046593,0.066064,0.000000
7464.595421,0.996727,-0.046593,0.066064,0.000000
7464.608877,0.996727,-0.046593,0.066064,0.000000
7464.617484,0.996727,-0.046593,0.066064,0.000000
7464.627239,0.996727,-0.046593,0.066064,0.000000
7464.640909,0.996727,-0.046593,0.066064,0.000000
7464.653559,0.996727,-0.046593,0.066064,0.000000
7464.661287,0.996727,-0.046593,0.066064,0.000000
7464.673308,0.996727,-0.046593,0.066064,0.000000
7464.686691,0.996727,-0.046593,0.066064,0.000000
7464.695470,0.996727,-0.046593,0.066064,0.000000
7464.706692,0.996727,-0.046593,0.066064,0.000000
7464.722494,0.996727,-0.046593,0.066064,0.000000
7464.729680,0.996727,-0.046593,0.066064,0.000000
7464.740086,0.996727,-0.046593,0.066064,0.000000
7464.751935,0.996727,-0.046593,0.066064,0.000000
7464.759063,0.996727,-0.046593,0.066064,0.000000
7464.770717,0.996727,-0.046593,0.066064,0.000000
7464.779070,0.996727,-0.046593,0.066064,0.000000
7464.790061,0.996727,-0.046593,0.066064,0.000000
7464.802077,0.996727,-0.046593,0.066064,0.000000
7464.809289,0.996727,-0.046593,0.066064,0.000000
7464.819696,0.996727,-0.046593,0.066064,0.000000
7464.826612,0.996727,-0.046593,0.066064,0.000000
7464.837928,0.996727,-0.046593,0.066064,0.000000
7464.845350,0.996727,-0.046593,0.066064,0.000000
7464.856162,0.996727,-0.046593,0.066064,0.000000
7464.866918,0.996727,-0.046593,0.066064,0.000000
7464.873827,0.996727,-0.046593,0.066064,0.000000
7464.888168,0.996727,-0.046593,0.066064,0.000000
7464.896075,0.996727,-0.046593,0.066064,0.000000
7464.904952,0.996727,-0.046593,0.066064,0.000000
7464.912400,0.996727,-0.046593,0.066064,0.000000
7464.923313,0.996727,-0.046593,0.066064,0.000000
7464.933744,0.996727,-0.046593,0.066064,0.000000
7464.940601,0.996727,-0.046593,0.066064,0.000000
7464.951803,0.996727,-0.046593,0.066064,0.000000
7464.959274,0.996727,-0.046593,0.066064,0.000000
7464.969119,0.996727,-0.046593,0.066064,0.000000
7464.976510,0.996727,-0.046593,0.066064,0.000000
7464.987444,0.996727,-0.046593,0.066064,0.000000
7464.995930,0.996727,-0.046593,0.066064,0.000000
7465.004067,0.996727,-0.046593,0.066064,0.000000
7465.011505,0.996727,-0.046593,0.066064,0.000000
7465.022592,0.996727,-0.046593,0.066064,0.000000
7465.033765,0.996727,-0.046593,0.066064,0.000000
7465.040731,0.996727,-0.046593,0.066064,0.000000
7465.051099,0.996727,-0.046593,0.066064,0.000000
7465.058146,0.996727,-0.046593,0.066064,0.000000
7465.065385,0.996727,-0.046593,0.066064,0.000000
7465.076301,0.996727,-0.046593,0.066064,0.000000
7465.087469,0.996727,-0.046593,0.066064,0.000000
7465.094592,0.996727,-0.046593,0.066064,0.000000
7465.106061,0.996727,-0.046593,0.066064,0.000000
7465.117348,0.996727,-0.046593,0.066064,0.000000
7465.125546,0.996727,-0.046593,0.066064,0.000000
7465.141066,0.996727,-0.046593,0.066064,0.000000
7465.153828,0.996727,-0.046593,0.066064,0.000000
7465.162559,0.996727,-0.046593,0.066064,0.000000
7465.172702,0.996727,-0.046593,0.066064,0.000000
7465.182246,0.996727,-0.046593,0.066064,0.000000
7465.195915,0.996727,-0.046593,0.066064,0.000000
7465.207033,0.996727,-0.046593,0.066064,0.000000
7465.219129,0.996727,-0.046593,0.066064,0.000000
7465.227320,0.996727,-0.046593,0.066064,0.000000
7465.237807,0.996727,-0.046593,0.066064,0.000000
7465.247261,0.996727,-0.046593,0.066064,0.000000
7465.255894,0.996727,-0.046593,0.066064,0.000000
7465.263651,0.996727,-0.046593,0.066064,0.000000
7465.276687,0.996727,-0.046593,0.066064,0.000000
7465.289091,0.996727,-0.046593,0.066064,0.000000
7465.297918,0.996727,-0.046593,0.066064,0.000000
7465.308053,0.996727,-0.046593,0.066064,0.000000
7465.320219,0.996727,-0.046593,0.066064,0.000000
