t_sec,x_m,y_m,z_m,scale
7928.306237,0.041045,-0.223022,0.973949,0.000000
7928.330707,0.041045,-0.223022,0.973949,0.000000
7928.369914,0.041045,-0.223022,0.973949,0.000000
7928.396192,0.041045,-0.223022,0.973949,0.000000
7928.439604,0.041045,-0.223022,0.973949,0.000000
7928.459977,0.041045,-0.223022,0.973949,0.000000
7928.502695,0.041045,-0.223022,0.973949,0.000000
7928.543767,0.041045,-0.223022,0.973949,0.000000
7928.573055,0.041045,-0.223022,0.973949,0.000000
7928.592127,0.041045,-0.223022,0.973949,0.000000
7928.658818,0.041045,-0.223022,0.973949,0.000000
7928.697723,0.041045,-0.223022,0.973949,0.000000
7928.705942,0.041045,-0.223022,0.973949,0.000000
7928.729405,0.041045,-0.223022,0.973949,0.000000
7928.787438,0.041045,-0.223022,0.973949,0.000000
7928.844200,0.041045,-0.223022,0.973949,0.000000
7928.859992,0.041045,-0.223022,0.973949,0.000000
7928.898859,0.041045,-0.223022,0.973949,0.000000
7928.912790,0.041045,-0.223022,0.973949,0.000000
7928.931482,0.041045,-0.223022,0.973949,0.000000
7928.990837,0.041045,-0.223022,0.973949,0.000000
7929.035046,0.041045,-0.223022,0.973949,0.000000
7929.054941,0.041045,-0.223022,0.973949,0.000000
7929.066773,0.041045,-0.223022,0.973949,0.000000
7929.104293,0.041045,-0.223022,0.973949,0.000000
7929.129193,0.041045,-0.223022,0.973949,0.000000
7929.171342,0.041045,-0.223022,0.973949,0.000000
7929.196874,0.041045,-0.223022,0.973949,0.000000
7929.238834,0.041045,-0.223022,0.973949,0.000000
7929.267546,0.041045,-0.223022,0.973949,0.000000
7929.306993,0.041045,-0.223022,0.973949,0.000000
7929.328502,0.041045,-0.223022,0.973949,0.000000
7929.361857,0.041045,-0.223022,0.973949,0.000000
7929.419561,0.041045,-0.223022,0.973949,0.000000
7929.445999,0.041045,-0.223022,0.973949,0.000000
7929.470605,0.041045,-0.223022,0.973949,0.000000
7929.520890,0.041045,-0.223022,0.973949,0.000000
7929.533865,0.041045,-0.223022,0.973949,0.000000
7929.557034,0.041045,-0.223022,0.973949,0.000000
7929.616865,0.041045,-0.223022,0.973949,0.000000
7929.663589,0.041045,-0.223022,0.973949,0.000000
7929.681147,0.041045,-0.223022,0.973949,0.000000
7929.715563,0.041045,-0.223022,0.973949,0.000000
7929.731697,0.041045,-0.223022,0.973949,0.000000
7929.759417,0.041045,-0.223022,0.973949,0.000000
7929.795942,0.041045,-0.223022,0.973949,0.000000
7929.826834,0.041045,-0.223022,0.973949,0.000000
7929.862514,0.041045,-0.223022,0.973949,0.000000
7929.910928,0.041045,-0.223022,0.973949,0.000000
7929.937432,0.041045,-0.223022,0.973949,0.000000
7929.968231,0.041045,-0.223022,0.973949,0.000000
7930.001494,0.041045,-0.223022,0.973949,0.000000
7930.025218,0.041045,-0.223022,0.973949,0.000000
7930.081374,0.041045,-0.223022,0.973949,0.000000
7930.118752,0.041045,-0.223022,0.973949,0.000000
7930.133093,0.041045,-0.223022,0.973949,0.000000
7930.160515,0.041045,-0.223022,0.973949,0.000000
7930.217761,0.041045,-0.223022,0.973949,0.000000
7930.252610,0.041045,-0.223022,0.973949,0.000000
7930.269868,0.041045,-0.223022,0.973949,0.000000
7930.306129,0.041045,-0.223022,0.973949,0.000000
7930.331040,0.041045,-0.223022,0.973949,0.000000
7930.360542,0.041045,-0.223022,0.973949,0.000000
7930.423552,0.041045,-0.223022,0.973949,0.000000
7930.456930,0.041045,-0.223022,0.973949,0.000000
7930.467220,0.041045,-0.223022,0.973949,0.000000
7930.491847,0.041045,-0.223022,0.973949,0.000000
7930.555826,0.041045,-0.223022,0.973949,0.000000
7930.605936,0.041045,-0.223022,0.973949,0.000000
7930.618312,0.041045,-0.223022,0.973949,0.000000
7930.656655,0.041045,-0.223022,0.973949,0.000000
7930.670822,0.041045,-0.223022,0.973949,0.000000
7930.693136,0.041045,-0.223022,0.973949,0.000000
7930.734713,0.041045,-0.223022,0.973949,0.000000
7930.759427,0.041045,-0.223022,0.973949,0.000000
7930.803881,0.041045,-0.223022,0.973949,0.000000
7930.827732,0.041045,-0.223022,0.973949,0.000000
7930.868132,0.041045,-0.223022,0.973949,0.000000
7930.892691,0.041045,-0.223022,0.973949,0.000000
7930.936580,0.041045,-0.223022,0.973949,0.000000
7930.959635,0.041045,-0.223022,0.973949,0.000000
7931.006197,0.041045,-0.223022,0.973949,0.000000
7931.026858,0.041045,-0.223022,0.973949,0.000000
7931.073089,0.041045,-0.223022,0.973949,0.000000
7931.096238,0.041045,-0.223022,0.973949,0.000000
7931.160192,0.041045,-0.223022,0.973949,0.000000
7931.199227,0.041045,-0.223022,0.973949,0.000000
7931.209716,0.041045,-0.223022,0.973949,0.000000
7931.228230,0.041045,-0.223022,0.973949,0.000000
7931.290048,0.041045,-0.223022,0.973949,0.000000
7931.334822,0.041045,-0.223022,0.973949,0.000000
7931.357273,0.041045,-0.223022,0.973949,0.000000
7931.403846,0.041045,-0.223022,0.973949,0.000000
7931.423283,0.041045,-0.223022,0.973949,0.000000
7931.477061,0.041045,-0.223022,0.973949,0.000000
7931.507684,0.041045,-0.223022,0.973949,0.000000
7931.579791,0.041045,-0.223022,0.973949,0.000000
7931.609804,0.041045,-0.223022,0.973949,0.000000
7931.647246,0.041045,-0.223022,0.973949,0.000000
7931.716101,0.041045,-0.223022,0.973949,0.000000
7931.747122,0.041045,-0.223022,0.973949,0.000000
7931.782717,0.041045,-0.223022,0.973949,0.000000
7931.810347,0.041045,-0.223022,0.973949,0.000000
7931.829332,0.041045,-0.223022,0.973949,0.000000
7931.842548,0.041045,-0.223022,0.973949,0.000000
7931.888276,0.041045,-0.223022,0.973949,0.000000
