t_sec,x_m,y_m,z_m,scale
12959.259330,0.173749,-0.075446,0.981896,0.000000
12959.293174,0.173749,-0.075446,0.981896,0.000000
12959.325537,0.173749,-0.075446,0.981896,0.000000
12959.358028,0.173749,-0.075446,0.981896,0.000000
12959.389852,0.173749,-0.075446,0.981896,0.000000
12959.424374,0.173749,-0.075446,0.981896,0.000000
12959.461693,0.173749,-0.075446,0.981896,0.000000
12959.491477,0.173749,-0.075446,0.981896,0.000000
12959.522675,0.173749,-0.075446,0.981896,0.000000
12959.575978,0.173749,-0.075446,0.981896,0.000000
12959.597535,0.173749,-0.075446,0.981896,0.000000
12959.622610,0.173749,-0.075446,0.981896,0.000000
12959.655143,0.173749,-0.075446,0.981896,0.000000
12959.688457,0.173749,-0.075446,0.981896,0.000000
12959.723499,0.173749,-0.075446,0.981896,0.000000
12959.779051,0.173749,-0.075446,0.981896,0.000000
12959.799583,0.173749,-0.075446,0.981896,0.000000
12959.830891,0.173749,-0.075446,0.981896,0.000000
12959.868930,0.173749,-0.075446,0.981896,0.000000
12959.885903,0.173749,-0.075446,0.981896,0.000000
12959.925951,0.173749,-0.075446,0.981896,0.000000
12959.950858,0.173749,-0.075446,0.981896,0.000000
12960.021792,0.173749,-0.075446,0.981896,0.000000
12960.059621,0.173749,-0.075446,0.981896,0.000000
12960.071415,0.173749,-0.075446,0.981896,0.000000
12960.085039,0.173749,-0.075446,0.981896,0.000000
12960.127553,0.173749,-0.075446,0.981896,0.000000
12960.136392,0.173749,-0.075446,0.981896,0.000000
12960.211237,0.173749,-0.075446,0.981896,0.000000
12960.258133,0.173749,-0.075446,0.981896,0.000000
12960.272506,0.173749,-0.075446,0.981896,0.000000
12960.284836,0.173749,-0.075446,0.981896,0.000000
12960.328659,0.173749,-0.075446,0.981896,0.000000
12960.365564,0.173749,-0.075446,0.981896,0.000000
12960.411167,0.173749,-0.075446,0.981896,0.000000
12960.419693,0.173749,-0.075446,0.981896,0.000000
12960.482176,0.173749,-0.075446,0.981896,0.000000
12960.528162,0.173749,-0.075446,0.981896,0.000000
12960.544158,0.173749,-0.075446,0.981896,0.000000
12960.554798,0.173749,-0.075446,0.981896,0.000000
12960.599168,0.173749,-0.075446,0.981896,0.000000
12960.623513,0.173749,-0.075446,0.981896,0.000000
12960.660283,0.173749,-0.075446,0.981896,0.000000
12960.699078,0.173749,-0.075446,0.981896,0.000000
12960.747992,0.173749,-0.075446,0.981896,0.000000
12960.758493,0.173749,-0.075446,0.981896,0.000000
12960.799917,0.173749,-0.075446,0.981896,0.000000
12960.823088,0.173749,-0.075446,0.981896,0.000000
12960.869591,0.173749,-0.075446,0.981896,0.000000
12960.902740,0.173749,-0.075446,0.981896,0.000000
12960.932586,0.173749,-0.075446,0.981896,0.000000
12960.958806,0.173749,-0.075446,0.981896,0.000000
12961.000223,0.173749,-0.075446,0.981896,0.000000
12961.024266,0.173749,-0.075446,0.981896,0.000000
12961.078221,0.173749,-0.075446,0.981896,0.000000
12961.102566,0.173749,-0.075446,0.981896,0.000000
12961.135907,0.173749,-0.075446,0.981896,0.000000
12961.148821,0.173749,-0.075446,0.981896,0.000000
12961.183528,0.173749,-0.075446,0.981896,0.000000
12961.243571,0.173749,-0.075446,0.981896,0.000000
12961.274977,0.173749,-0.075446,0.981896,0.000000
12961.292109,0.173749,-0.075446,0.981896,0.000000
12961.327055,0.173749,-0.075446,0.981896,0.000000
12961.353969,0.173749,-0.075446,0.981896,0.000000
12961.384420,0.173749,-0.075446,0.981896,0.000000
12961.420893,0.173749,-0.075446,0.981896,0.000000
12961.451220,0.173749,-0.075446,0.981896,0.000000
12961.510703,0.173749,-0.075446,0.981896,0.000000
12961.539173,0.173749,-0.075446,0.981896,0.000000
12961.555410,0.173749,-0.075446,0.981896,0.000000
12961.584481,0.173749,-0.075446,0.981896,0.000000
12961.642184,0.173749,-0.075446,0.981896,0.000000
12961.679401,0.173749,-0.075446,0.981896,0.000000
12961.689451,0.173749,-0.075446,0.981896,0.000000
12961.728859,0.173749,-0.075446,0.981896,0.000000
12961.769872,0.173749,-0.075446,0.981896,0.000000
12961.808562,0.173749,-0.075446,0.981896,0.000000
12961.823589,0.173749,-0.075446,0.981896,0.000000
12961.850179,0.173749,-0.075446,0.981896,0.000000
12961.912338,0.173749,-0.075446,0.981896,0.000000
12961.944292,0.173749,-0.075446,0.981896,0.000000
12961.955376,0.173749,-0.075446,0.981896,0.000000
12961.985994,0.173749,-0.075446,0.981896,0.000000
12962.020434,0.173749,-0.075446,0.981896,0.000000
12962.050948,0.173749,-0.075446,0.981896,0.000000
12962.091349,0.173749,-0.075446,0.981896,0.000000
12962.134380,0.173749,-0.075446,0.981896,0.000000
12962.159077,0.173749,-0.075446,0.981896,0.000000
12962.199489,0.173749,-0.075446,0.981896,0.000000
12962.230589,0.173749,-0.075446,0.981896,0.000000
12962.251689,0.173749,-0.075446,0.981896,0.000000
12962.290139,0.173749,-0.075446,0.981896,0.000000
12962.318670,0.173749,-0.075446,0.981896,0.000000
12962.355754,0.173749,-0.075446,0.981896,0.000000
12962.382449,0.173749,-0.075446,0.981896,0.000000
12962.427503,0.173749,-0.075446,0.981896,0.000000
12962.453977,0.173749,-0.075446,0.981896,0.000000
12962.510074,0.173749,-0.075446,0.981896,0.000000
12962.561495,0.173749,-0.075446,0.981896,0.000000
12962.575200,0.173749,-0.075446,0.981896,0.000000
12962.629876,0.173749,-0.075446,0.981896,0.000000
12962.650091,0.173749,-0.075446,0.981896,0.000000
12962.688773,0.173749,-0.075446,0.981896,0.000000
12962.700149,0.173749,-0.075446,0.981896,0.000000
12962.735161,0.173749,-0.075446,0.981896,0.000000
12962.788473,0.173749,-0.075446,0.981896,0.000000
12962.840127,0.173749,-0.075446,0.981896,0.000000
12962.864681,0.173749,-0.075446,0.981896,0.000000
12962.910328,0.173749,-0.075446,0.981896,0.000000
12962.939627,0.173749,-0.075446,0.981896,0.000000
12962.977191,0.173749,-0.075446,0.981896,0.000000
12962.997887,0.173749,-0.075446,0.981896,0.000000
12963.039931,0.173749,-0.075446,0.981896,0.000000
12963.051240,0.173749,-0.075446,0.981896,0.000000
12963.063192,0.173749,-0.075446,0.981896,0.000000
12963.100044,0.173749,-0.075446,0.981896,0.000000
12963.126113,0.173749,-0.075446,0.981896,0.000000
12963.169831,0.173749,-0.075446,0.981896,0.000000
12963.206553,0.173749,-0.075446,0.981896,0.000000
12963.255926,0.173749,-0.075446,0.981896,0.000000
12963.324989,0.173749,-0.075446,0.981896,0.000000
12963.380786,0.173749,-0.075446,0.981896,0.000000
12963.402416,0.173749,-0.075446,0.981896,0.000000
12963.449303,0.173749,-0.075446,0.981896,0.000000
12963.473026,0.173749,-0.075446,0.981896,0.000000
12963.519322,0.173749,-0.075446,0.981896,0.000000
12963.557297,0.173749,-0.075446,0.981896,0.000000
12963.613555,0.173749,-0.075446,0.981896,0.000000
12963.669924,0.173749,-0.075446,0.981896,0.000000
12963.720337,0.173749,-0.075446,0.981896,0.000000
12963.728974,0.173749,-0.075446,0.981896,0.000000
12963.739711,0.173749,-0.075446,0.981896,0.000000
12963.756103,0.173749,-0.075446,0.981896,0.000000
12963.795033,0.173749,-0.075446,0.981896,0.000000
12963.803381,0.173749,-0.075446,0.981896,0.000000
12963.812405,0.173749,-0.075446,0.981896,0.000000
12963.824715,0.173749,-0.075446,0.981896,0.000000
