t_sec,raw,bat,pitch,roll,yaw,vgx,vgy,vgz,agx,agy,agz,baro,tof,h
8477.421411,"pitch:-1;roll:-1;yaw:0;vgx:0;vgy:0;vgz:0;templ:87;temph:90;tof:10;h:0;bat:58;baro:15.22;time:0;agx:-23.00;agy:21.00;agz:-999.00;
‚[",58,-1,-1,0,0,0,0,-23.00,21.00,-999.00,15.22,10,0
8477.525382,"pitch:-1;roll:-1;yaw:0;vgx:0;vgy:0;vgz:0;templ:87;temph:90;tof:10;h:0;bat:58;baro:15.19;time:0;agx:-21.00;agy:18.00;agz:-1000.00;
[",58,-1,-1,0,0,0,0,-21.00,18.00,-1000.00,15.19,10,0
8477.625287,"pitch:-1;roll:-1;yaw:0;vgx:0;vgy:0;vgz:0;templ:87;temph:90;tof:10;h:0;bat:58;baro:15.17;time:0;agx:-22.00;agy:20.00;agz:-998.00;

[",58,-1,-1,0,0,0,0,-22.00,20.00,-998.00,15.17,10,0
8477.729086,"pitch:-1;roll:-1;yaw:0;vgx:0;vgy:0;vgz:0;templ:87;temph:90;tof:10;h:0;bat:58;baro:15.20;time:0;agx:-22.00;agy:22.00;agz:-997.00;

[",58,-1,-1,0,0,0,0,-22.00,22.00,-997.00,15.20,10,0
8477.828978,"pitch:-1;roll:-1;yaw:0;vgx:0;vgy:0;vgz:0;templ:88;temph:90;tof:10;h:0;bat:58;baro:15.17;time:0;agx:-22.00;agy:19.00;agz:-999.00;

[",58,-1,-1,0,0,0,0,-22.00,19.00,-999.00,15.17,10,0
8477.930928,"pitch:-1;roll:-1;yaw:0;vgx:0;vgy:0;vgz:0;templ:88;temph:90;tof:10;h:0;bat:58;baro:15.20;time:0;agx:-20.00;agy:19.00;agz:-998.00;

[",58,-1,-1,0,0,0,0,-20.00,19.00,-998.00,15.20,10,0
8478.033019,"pitch:-1;roll:-1;yaw:0;vgx:0;vgy:0;vgz:0;templ:88;temph:90;tof:10;h:0;bat:58;baro:15.20;time:0;agx:-24.00;agy:18.00;agz:-998.00;

[",58,-1,-1,0,0,0,0,-24.00,18.00,-998.00,15.20,10,0
8478.135117,"pitch:-1;roll:-1;yaw:0;vgx:0;vgy:0;vgz:0;templ:88;temph:90;tof:10;h:0;bat:58;baro:15.13;time:0;agx:-21.00;agy:18.00;agz:-1000.00;
[",58,-1,-1,0,0,0,0,-21.00,18.00,-1000.00,15.13,10,0
8478.237323,"pitch:-1;roll:-1;yaw:0;vgx:0;vgy:0;vgz:0;templ:88;temph:90;tof:10;h:0;bat:58;baro:15.20;time:0;agx:-20.00;agy:20.00;agz:-1002.00;
[",58,-1,-1,0,0,0,0,-20.00,20.00,-1002.00,15.20,10,0
8478.339246,"pitch:-1;roll:-1;yaw:0;vgx:0;vgy:0;vgz:0;templ:88;temph:90;tof:10;h:0;bat:58;baro:15.18;time:0;agx:-23.00;agy:20.00;agz:-1000.00;
[",58,-1,-1,0,0,0,0,-23.00,20.00,-1000.00,15.18,10,0
8478.441738,"pitch:-1;roll:-1;yaw:0;vgx:0;vgy:0;vgz:0;templ:88;temph:90;tof:10;h:0;bat:58;baro:15.18;time:0;agx:-21.00;agy:19.00;agz:-999.00;

[",58,-1,-1,0,0,0,0,-21.00,19.00,-999.00,15.18,10,0
8478.545511,"pitch:-1;roll:-1;yaw:0;vgx:0;vgy:0;vgz:0;templ:88;temph:90;tof:10;h:0;bat:58;baro:15.20;time:0;agx:-21.00;agy:20.00;agz:-999.00;

[",58,-1,-1,0,0,0,0,-21.00,20.00,-999.00,15.20,10,0
8478.646027,"pitch:-1;roll:-1;yaw:0;vgx:0;vgy:0;vgz:0;templ:88;temph:90;tof:10;h:0;bat:58;baro:15.23;time:0;agx:-22.00;agy:20.00;agz:-1001.00;
[",58,-1,-1,0,0,0,0,-22.00,20.00,-1001.00,15.23,10,0
8478.747856,"pitch:-1;roll:-1;yaw:0;vgx:0;vgy:0;vgz:0;templ:88;temph:90;tof:10;h:0;bat:58;baro:15.24;time:0;agx:-23.00;agy:21.00;agz:-999.00;

[",58,-1,-1,0,0,0,0,-23.00,21.00,-999.00,15.24,10,0
8478.849777,"pitch:-1;roll:-1;yaw:0;vgx:0;vgy:0;vgz:0;templ:87;temph:89;tof:10;h:0;bat:58;baro:15.21;time:0;agx:-24.00;agy:20.00;agz:-998.00;

[",58,-1,-1,0,0,0,0,-24.00,20.00,-998.00,15.21,10,0
8478.951818,"pitch:-1;roll:-1;yaw:0;vgx:0;vgy:0;vgz:0;templ:87;temph:89;tof:10;h:0;bat:58;baro:15.20;time:0;agx:-23.00;agy:18.00;agz:-1001.00;
[",58,-1,-1,0,0,0,0,-23.00,18.00,-1001.00,15.20,10,0
8479.053792,"pitch:-1;roll:-1;yaw:0;vgx:0;vgy:0;vgz:0;templ:87;temph:89;tof:10;h:0;bat:58;baro:15.18;time:0;agx:-23.00;agy:20.00;agz:-999.00;

[",58,-1,-1,0,0,0,0,-23.00,20.00,-999.00,15.18,10,0
8479.155951,"pitch:-1;roll:-1;yaw:0;vgx:0;vgy:0;vgz:0;templ:87;temph:89;tof:10;h:0;bat:58;baro:15.18;time:0;agx:-21.00;agy:22.00;agz:-1000.00;
[",58,-1,-1,0,0,0,0,-21.00,22.00,-1000.00,15.18,10,0
8479.257787,"pitch:-1;roll:-1;yaw:0;vgx:0;vgy:0;vgz:0;templ:87;temph:89;tof:10;h:0;bat:58;baro:15.18;time:0;agx:-21.00;agy:20.00;agz:-1002.00;
[",58,-1,-1,0,0,0,0,-21.00,20.00,-1002.00,15.18,10,0
8479.359772,"pitch:-1;roll:-1;yaw:0;vgx:0;vgy:0;vgz:0;templ:87;temph:89;tof:10;h:0;bat:58;baro:15.20;time:0;agx:-22.00;agy:20.00;agz:-1001.00;
[",58,-1,-1,0,0,0,0,-22.00,20.00,-1001.00,15.20,10,0
8479.461791,"pitch:-1;roll:-1;yaw:0;vgx:0;vgy:0;vgz:0;templ:87;temph:89;tof:10;h:0;bat:58;baro:15.18;time:0;agx:-21.00;agy:21.00;agz:-999.00;

[",58,-1,-1,0,0,0,0,-21.00,21.00,-999.00,15.18,10,0
8479.563872,"pitch:-1;roll:-1;yaw:0;vgx:0;vgy:0;vgz:0;templ:87;temph:89;tof:10;h:0;bat:58;baro:15.21;time:0;agx:-22.00;agy:19.00;agz:-999.00;

[",58,-1,-1,0,0,0,0,-22.00,19.00,-999.00,15.21,10,0
8479.666138,"pitch:-1;roll:-1;yaw:0;vgx:0;vgy:0;vgz:0;templ:87;temph:89;tof:10;h:0;bat:58;baro:15.22;time:0;agx:-22.00;agy:19.00;agz:-1001.00;
[",58,-1,-1,0,0,0,0,-22.00,19.00,-1001.00,15.22,10,0
8479.767864,"pitch:-1;roll:-1;yaw:0;vgx:0;vgy:0;vgz:0;templ:87;temph:89;tof:10;h:0;bat:58;baro:15.22;time:0;agx:-22.00;agy:19.00;agz:-999.00;

[",58,-1,-1,0,0,0,0,-22.00,19.00,-999.00,15.22,10,0
8479.870157,"pitch:-1;roll:-1;yaw:0;vgx:0;vgy:0;vgz:0;templ:88;temph:90;tof:10;h:0;bat:58;baro:15.19;time:0;agx:-22.00;agy:20.00;agz:-1001.00;
[",58,-1,-1,0,0,0,0,-22.00,20.00,-1001.00,15.19,10,0
8479.971690,"pitch:-1;roll:-1;yaw:0;vgx:0;vgy:0;vgz:0;templ:88;temph:90;tof:10;h:0;bat:58;baro:15.21;time:0;agx:-21.00;agy:18.00;agz:-997.00;

[",58,-1,-1,0,0,0,0,-21.00,18.00,-997.00,15.21,10,0
8480.022723,"pitch:-1;roll:-1;yaw:0;vgx:0;vgy:0;vgz:0;templ:88;temph:90;tof:10;h:0;bat:58;baro:15.18;time:0;agx:-22.00;agy:20.00;agz:-1003.00;
[",58,-1,-1,0,0,0,0,-22.00,20.00,-1003.00,15.18,10,0
8480.125405,"pitch:-1;roll:-1;yaw:0;vgx:0;vgy:0;vgz:0;templ:88;temph:90;tof:10;h:0;bat:58;baro:15.25;time:0;agx:-22.00;agy:18.00;agz:-1000.00;
[",58,-1,-1,0,0,0,0,-22.00,18.00,-1000.00,15.25,10,0
8480.226876,"pitch:-1;roll:-1;yaw:0;vgx:0;vgy:0;vgz:0;templ:88;temph:90;tof:10;h:0;bat:58;baro:15.20;time:0;agx:-26.00;agy:14.00;agz:-990.00;

[",58,-1,-1,0,0,0,0,-26.00,14.00,-990.00,15.20,10,0
8480.328698,"pitch:-1;roll:-1;yaw:0;vgx:0;vgy:0;vgz:0;templ:88;temph:90;tof:10;h:0;bat:58;baro:15.20;time:0;agx:-31.00;agy:13.00;agz:-999.00;

[",58,-1,-1,0,0,0,0,-31.00,13.00,-999.00,15.20,10,0
8480.430986,"pitch:-1;roll:-1;yaw:0;vgx:0;vgy:0;vgz:0;templ:88;temph:90;tof:10;h:0;bat:58;baro:15.22;time:0;agx:-25.00;agy:19.00;agz:-999.00;

[",58,-1,-1,0,0,0,0,-25.00,19.00,-999.00,15.22,10,0
8480.532779,"pitch:-1;roll:-1;yaw:0;vgx:0;vgy:0;vgz:0;templ:88;temph:90;tof:10;h:0;bat:58;baro:15.21;time:0;agx:-20.00;agy:19.00;agz:-999.00;

[",58,-1,-1,0,0,0,0,-20.00,19.00,-999.00,15.21,10,0
