t_sec,raw,bat,pitch,roll,yaw,vgx,vgy,vgz,agx,agy,agz,baro,tof,h
12637.369198,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:51;temph:54;tof:10;h:0;bat:37;baro:9.71;time:0;agx:16.00;agy:7.00;agz:-1003.00;
",37,0,0,0,0,0,0,16.00,7.00,-1003.00,9.71,10,0
12637.434131,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:51;temph:54;tof:10;h:0;bat:37;baro:9.68;time:0;agx:15.00;agy:2.00;agz:-999.00;

",37,0,0,0,0,0,0,15.00,2.00,-999.00,9.68,10,0
12637.573937,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:51;temph:55;tof:10;h:0;bat:37;baro:9.71;time:0;agx:12.00;agy:4.00;agz:-999.00;

",37,0,0,0,0,0,0,12.00,4.00,-999.00,9.71,10,0
12637.638234,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:51;temph:55;tof:10;h:0;bat:37;baro:9.70;time:0;agx:12.00;agy:2.00;agz:-1000.00;
",37,0,0,0,0,0,0,12.00,2.00,-1000.00,9.70,10,0
12637.740676,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:51;temph:55;tof:10;h:0;bat:37;baro:9.68;time:0;agx:14.00;agy:6.00;agz:-997.00;

",37,0,0,0,0,0,0,14.00,6.00,-997.00,9.68,10,0
12637.880882,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:51;temph:55;tof:10;h:0;bat:37;baro:9.71;time:0;agx:16.00;agy:6.00;agz:-1000.00;
",37,0,0,0,0,0,0,16.00,6.00,-1000.00,9.71,10,0
12637.893050,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:51;temph:55;tof:10;h:0;bat:37;baro:9.71;time:0;agx:17.00;agy:1.00;agz:-999.00;

",37,0,0,0,0,0,0,17.00,1.00,-999.00,9.71,10,0
12638.085910,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:51;temph:55;tof:10;h:0;bat:37;baro:9.67;time:0;agx:15.00;agy:3.00;agz:-999.00;

",37,0,0,0,0,0,0,15.00,3.00,-999.00,9.67,10,0
12638.097127,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:51;temph:55;tof:10;h:0;bat:37;baro:9.63;time:0;agx:15.00;agy:3.00;agz:-1000.00;
",37,0,0,0,0,0,0,15.00,3.00,-1000.00,9.63,10,0
12638.199234,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:51;temph:55;tof:10;h:0;bat:37;baro:9.67;time:0;agx:14.00;agy:5.00;agz:-999.00;

",37,0,0,0,0,0,0,14.00,5.00,-999.00,9.67,10,0
12638.301126,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:51;temph:55;tof:10;h:0;bat:37;baro:9.71;time:0;agx:16.00;agy:3.00;agz:-998.00;

",37,0,0,0,0,0,0,16.00,3.00,-998.00,9.71,10,0
12638.403423,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:51;temph:55;tof:10;h:0;bat:37;baro:9.67;time:0;agx:14.00;agy:3.00;agz:-999.00;

",37,0,0,0,0,0,0,14.00,3.00,-999.00,9.67,10,0
12638.505428,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:52;temph:54;tof:10;h:0;bat:37;baro:9.68;time:0;agx:16.00;agy:4.00;agz:-1001.00;
",37,0,0,0,0,0,0,16.00,4.00,-1001.00,9.68,10,0
12638.607517,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:52;temph:54;tof:10;h:0;bat:37;baro:9.69;time:0;agx:14.00;agy:4.00;agz:-1000.00;
",37,0,0,0,0,0,0,14.00,4.00,-1000.00,9.69,10,0
12638.709419,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:52;temph:54;tof:10;h:0;bat:37;baro:9.69;time:0;agx:16.00;agy:4.00;agz:-1000.00;
",37,0,0,0,0,0,0,16.00,4.00,-1000.00,9.69,10,0
12638.813281,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:52;temph:54;tof:10;h:0;bat:37;baro:9.68;time:0;agx:15.00;agy:4.00;agz:-1000.00;
",37,0,0,0,0,0,0,15.00,4.00,-1000.00,9.68,10,0
12638.913931,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:52;temph:54;tof:10;h:0;bat:37;baro:9.68;time:0;agx:14.00;agy:3.00;agz:-1000.00;
",37,0,0,0,0,0,0,14.00,3.00,-1000.00,9.68,10,0
12639.017127,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:52;temph:54;tof:10;h:0;bat:37;baro:9.70;time:0;agx:16.00;agy:3.00;agz:-998.00;

",37,0,0,0,0,0,0,16.00,3.00,-998.00,9.70,10,0
