t_sec,raw,bat,pitch,roll,yaw,vgx,vgy,vgz,agx,agy,agz,baro,tof,h
7183.517924,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:77;temph:80;tof:10;h:0;bat:81;baro:17.26;time:0;agx:14.00;agy:2.00;agz:-1001.00;
 OA¼~",81,0,0,0,0,0,0,14.00,2.00,-1001.00,17.26,10,0
7183.620036,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:77;temph:80;tof:10;h:0;bat:81;baro:17.28;time:0;agx:15.00;agy:0.00;agz:-1002.00;
 OA¼~",81,0,0,0,0,0,0,15.00,0.00,-1002.00,17.28,10,0
7183.722082,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:77;temph:80;tof:10;h:0;bat:81;baro:17.30;time:0;agx:14.00;agy:0.00;agz:-1004.00;
 OA¼~",81,0,0,0,0,0,0,14.00,0.00,-1004.00,17.30,10,0
7183.824056,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:77;temph:80;tof:10;h:0;bat:81;baro:17.22;time:0;agx:14.00;agy:2.00;agz:-999.00;

 OA¼~",81,0,0,0,0,0,0,14.00,2.00,-999.00,17.22,10,0
7183.925966,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:77;temph:80;tof:10;h:0;bat:81;baro:17.26;time:0;agx:13.00;agy:0.00;agz:-997.00;

 OA¼~",81,0,0,0,0,0,0,13.00,0.00,-997.00,17.26,10,0
7184.027679,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:77;temph:80;tof:10;h:0;bat:81;baro:17.24;time:0;agx:13.00;agy:0.00;agz:-998.00;

 OA¼~",81,0,0,0,0,0,0,13.00,0.00,-998.00,17.24,10,0
7184.130053,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:77;temph:80;tof:10;h:0;bat:81;baro:17.23;time:0;agx:12.00;agy:0.00;agz:-998.00;

 OA¼~",81,0,0,0,0,0,0,12.00,0.00,-998.00,17.23,10,0
7184.231877,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:77;temph:79;tof:10;h:0;bat:81;baro:17.27;time:0;agx:13.00;agy:1.00;agz:-998.00;

 OA¼~",81,0,0,0,0,0,0,13.00,1.00,-998.00,17.27,10,0
7184.333838,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:77;temph:79;tof:10;h:0;bat:81;baro:17.24;time:0;agx:12.00;agy:1.00;agz:-995.00;

 OA¼~",81,0,0,0,0,0,0,12.00,1.00,-995.00,17.24,10,0
7184.435966,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:77;temph:79;tof:10;h:0;bat:81;baro:17.26;time:0;agx:14.00;agy:0.00;agz:-999.00;

 OA¼~",81,0,0,0,0,0,0,14.00,0.00,-999.00,17.26,10,0
7184.537949,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:77;temph:79;tof:10;h:0;bat:81;baro:17.29;time:0;agx:13.00;agy:0.00;agz:-1001.00;
 OA¼~",81,0,0,0,0,0,0,13.00,0.00,-1001.00,17.29,10,0
7184.640065,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:77;temph:79;tof:10;h:0;bat:81;baro:17.30;time:0;agx:12.00;agy:1.00;agz:-1002.00;
 OA¼~",81,0,0,0,0,0,0,12.00,1.00,-1002.00,17.30,10,0
7184.741970,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:77;temph:79;tof:10;h:0;bat:81;baro:17.22;time:0;agx:12.00;agy:2.00;agz:-998.00;

 OA¼~",81,0,0,0,0,0,0,12.00,2.00,-998.00,17.22,10,0
7184.846037,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:77;temph:79;tof:10;h:0;bat:81;baro:17.24;time:0;agx:13.00;agy:2.00;agz:-1002.00;
 OA¼~",81,0,0,0,0,0,0,13.00,2.00,-1002.00,17.24,10,0
7184.946205,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:77;temph:79;tof:10;h:0;bat:81;baro:17.24;time:0;agx:14.00;agy:1.00;agz:-999.00;

 OA¼~",81,0,0,0,0,0,0,14.00,1.00,-999.00,17.24,10,0
7185.047927,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:77;temph:79;tof:10;h:0;bat:81;baro:17.28;time:0;agx:14.00;agy:0.00;agz:-1000.00;
 OA¼~",81,0,0,0,0,0,0,14.00,0.00,-1000.00,17.28,10,0
7185.149931,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:77;temph:79;tof:10;h:0;bat:81;baro:17.24;time:0;agx:15.00;agy:0.00;agz:-999.00;

 OA¼~",81,0,0,0,0,0,0,15.00,0.00,-999.00,17.24,10,0
7185.251805,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:78;temph:80;tof:10;h:0;bat:81;baro:17.23;time:0;agx:13.00;agy:1.00;agz:-1001.00;
 OA¼~",81,0,0,0,0,0,0,13.00,1.00,-1001.00,17.23,10,0
7185.353785,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:78;temph:80;tof:10;h:0;bat:81;baro:17.23;time:0;agx:14.00;agy:1.00;agz:-1001.00;
 OA¼~",81,0,0,0,0,0,0,14.00,1.00,-1001.00,17.23,10,0
7185.455523,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:78;temph:80;tof:10;h:0;bat:81;baro:17.22;time:0;agx:13.00;agy:1.00;agz:-1000.00;
 OA¼~",81,0,0,0,0,0,0,13.00,1.00,-1000.00,17.22,10,0
7185.557743,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:78;temph:80;tof:10;h:0;bat:81;baro:17.24;time:0;agx:11.00;agy:0.00;agz:-998.00;

 OA¼~",81,0,0,0,0,0,0,11.00,0.00,-998.00,17.24,10,0
7185.659944,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:78;temph:80;tof:10;h:0;bat:81;baro:17.29;time:0;agx:12.00;agy:1.00;agz:-1000.00;
 OA¼~",81,0,0,0,0,0,0,12.00,1.00,-1000.00,17.29,10,0
7185.762117,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:78;temph:80;tof:10;h:0;bat:81;baro:17.21;time:0;agx:14.00;agy:0.00;agz:-1000.00;
 OA¼~",81,0,0,0,0,0,0,14.00,0.00,-1000.00,17.21,10,0
7185.813212,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:78;temph:80;tof:10;h:0;bat:81;baro:17.19;time:0;agx:14.00;agy:2.00;agz:-1000.00;
 OA¼~",81,0,0,0,0,0,0,14.00,2.00,-1000.00,17.19,10,0
7185.915026,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:78;temph:80;tof:10;h:0;bat:81;baro:17.22;time:0;agx:13.00;agy:1.00;agz:-1001.00;
 OA¼~",81,0,0,0,0,0,0,13.00,1.00,-1001.00,17.22,10,0
7186.016998,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:78;temph:80;tof:10;h:0;bat:81;baro:17.25;time:0;agx:13.00;agy:2.00;agz:-1000.00;
 OA¼~",81,0,0,0,0,0,0,13.00,2.00,-1000.00,17.25,10,0
7186.118731,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:78;temph:80;tof:10;h:0;bat:81;baro:17.23;time:0;agx:15.00;agy:0.00;agz:-998.00;

 OA¼~",81,0,0,0,0,0,0,15.00,0.00,-998.00,17.23,10,0
7186.226260,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:77;temph:80;tof:10;h:0;bat:81;baro:17.24;time:0;agx:13.00;agy:0.00;agz:-1000.00;
 OA¼~",81,0,0,0,0,0,0,13.00,0.00,-1000.00,17.24,10,0
7186.322903,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:77;temph:80;tof:10;h:0;bat:81;baro:17.26;time:0;agx:14.00;agy:2.00;agz:-998.00;

 OA¼~",81,0,0,0,0,0,0,14.00,2.00,-998.00,17.26,10,0
7186.425048,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:77;temph:80;tof:10;h:0;bat:81;baro:17.20;time:0;agx:14.00;agy:1.00;agz:-1000.00;
 OA¼~",81,0,0,0,0,0,0,14.00,1.00,-1000.00,17.20,10,0
7186.526886,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:77;temph:80;tof:10;h:0;bat:81;baro:17.22;time:0;agx:13.00;agy:0.00;agz:-1001.00;
 OA¼~",81,0,0,0,0,0,0,13.00,0.00,-1001.00,17.22,10,0
7186.629056,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:77;temph:80;tof:10;h:0;bat:81;baro:17.25;time:0;agx:13.00;agy:2.00;agz:-1000.00;
 OA¼~",81,0,0,0,0,0,0,13.00,2.00,-1000.00,17.25,10,0
7186.731060,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:77;temph:80;tof:10;h:0;bat:81;baro:17.22;time:0;agx:13.00;agy:1.00;agz:-1000.00;
 OA¼~",81,0,0,0,0,0,0,13.00,1.00,-1000.00,17.22,10,0
7186.832605,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:77;temph:80;tof:10;h:0;bat:81;baro:17.18;time:0;agx:13.00;agy:1.00;agz:-999.00;

 OA¼~",81,0,0,0,0,0,0,13.00,1.00,-999.00,17.18,10,0
7186.934723,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:77;temph:80;tof:10;h:0;bat:81;baro:17.16;time:0;agx:14.00;agy:1.00;agz:-997.00;

 OA¼~",81,0,0,0,0,0,0,14.00,1.00,-997.00,17.16,10,0
7187.036619,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:77;temph:80;tof:10;h:0;bat:81;baro:17.23;time:0;agx:13.00;agy:2.00;agz:-999.00;

 OA¼~",81,0,0,0,0,0,0,13.00,2.00,-999.00,17.23,10,0
