t_sec,raw,bat,pitch,roll,yaw,vgx,vgy,vgz,agx,agy,agz,baro,tof,h
12928.058365,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:85;temph:87;tof:10;h:0;bat:31;baro:9.19;time:0;agx:12.00;agy:17.00;agz:-998.00;
",31,0,0,0,0,0,0,12.00,17.00,-998.00,9.19,10,0
12928.160317,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:85;temph:87;tof:10;h:0;bat:31;baro:9.20;time:0;agx:8.00;agy:17.00;agz:-1000.00;
",31,0,0,0,0,0,0,8.00,17.00,-1000.00,9.20,10,0
12928.262087,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:86;temph:88;tof:10;h:0;bat:31;baro:9.16;time:0;agx:8.00;agy:9.00;agz:-1000.00;

",31,0,0,0,0,0,0,8.00,9.00,-1000.00,9.16,10,0
12928.364187,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:86;temph:88;tof:10;h:0;bat:31;baro:9.18;time:0;agx:10.00;agy:7.00;agz:-998.00;

",31,0,0,0,0,0,0,10.00,7.00,-998.00,9.18,10,0
12928.466253,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:86;temph:88;tof:10;h:0;bat:31;baro:9.21;time:0;agx:8.00;agy:14.00;agz:-999.00;

",31,0,0,0,0,0,0,8.00,14.00,-999.00,9.21,10,0
12928.568107,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:86;temph:88;tof:10;h:0;bat:31;baro:9.16;time:0;agx:9.00;agy:15.00;agz:-999.00;

",31,0,0,0,0,0,0,9.00,15.00,-999.00,9.16,10,0
12928.670295,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:86;temph:88;tof:10;h:0;bat:31;baro:9.17;time:0;agx:12.00;agy:10.00;agz:-997.00;
",31,0,0,0,0,0,0,12.00,10.00,-997.00,9.17,10,0
12928.772398,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:86;temph:88;tof:10;h:0;bat:31;baro:9.19;time:0;agx:12.00;agy:7.00;agz:-997.00;

",31,0,0,0,0,0,0,12.00,7.00,-997.00,9.19,10,0
12928.874298,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:86;temph:88;tof:10;h:0;bat:31;baro:9.18;time:0;agx:13.00;agy:13.00;agz:-1000.00;
",31,0,0,0,0,0,0,13.00,13.00,-1000.00,9.18,10,0
12928.976350,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:86;temph:88;tof:10;h:0;bat:31;baro:9.22;time:0;agx:12.00;agy:12.00;agz:-1000.00;
",31,0,0,0,0,0,0,12.00,12.00,-1000.00,9.22,10,0
12929.080450,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:86;temph:88;tof:10;h:0;bat:31;baro:9.18;time:0;agx:12.00;agy:10.00;agz:-1000.00;
",31,0,0,0,0,0,0,12.00,10.00,-1000.00,9.18,10,0
12929.191963,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:86;temph:88;tof:10;h:0;bat:31;baro:9.18;time:0;agx:11.00;agy:9.00;agz:-1000.00;

",31,0,0,0,0,0,0,11.00,9.00,-1000.00,9.18,10,0
12929.283234,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:85;temph:88;tof:10;h:0;bat:31;baro:9.20;time:0;agx:11.00;agy:11.00;agz:-997.00;

",31,0,0,0,0,0,0,11.00,11.00,-997.00,9.20,10,0
12929.385186,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:85;temph:88;tof:10;h:0;bat:31;baro:9.21;time:0;agx:10.00;agy:12.00;agz:-998.00;

",31,0,0,0,0,0,0,10.00,12.00,-998.00,9.21,10,0
12929.487181,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:85;temph:88;tof:10;h:0;bat:31;baro:9.22;time:0;agx:11.00;agy:11.00;agz:-998.00;

",31,0,0,0,0,0,0,11.00,11.00,-998.00,9.22,10,0
12929.589261,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:85;temph:88;tof:10;h:0;bat:31;baro:9.22;time:0;agx:11.00;agy:11.00;agz:-998.00;

",31,0,0,0,0,0,0,11.00,11.00,-998.00,9.22,10,0
12929.640185,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:85;temph:88;tof:10;h:0;bat:31;baro:9.18;time:0;agx:10.00;agy:12.00;agz:-999.00;

",31,0,0,0,0,0,0,10.00,12.00,-999.00,9.18,10,0
12929.749086,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:85;temph:88;tof:10;h:0;bat:31;baro:9.22;time:0;agx:11.00;agy:11.00;agz:-1001.00;
",31,0,0,0,0,0,0,11.00,11.00,-1001.00,9.22,10,0
12929.846243,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:85;temph:88;tof:10;h:0;bat:31;baro:9.23;time:0;agx:10.00;agy:10.00;agz:-1000.00;
",31,0,0,0,0,0,0,10.00,10.00,-1000.00,9.23,10,0
12929.947179,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:85;temph:88;tof:10;h:0;bat:31;baro:9.22;time:0;agx:10.00;agy:9.00;agz:-999.00;

",31,0,0,0,0,0,0,10.00,9.00,-999.00,9.22,10,0
12930.049155,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:85;temph:88;tof:10;h:0;bat:31;baro:9.20;time:0;agx:10.00;agy:10.00;agz:-997.00;

",31,0,0,0,0,0,0,10.00,10.00,-997.00,9.20,10,0
12930.151302,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:85;temph:88;tof:10;h:0;bat:31;baro:9.21;time:0;agx:12.00;agy:10.00;agz:-1001.00;
",31,0,0,0,0,0,0,12.00,10.00,-1001.00,9.21,10,0
12930.253348,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:86;temph:89;tof:10;h:0;bat:31;baro:9.18;time:0;agx:10.00;agy:11.00;agz:-1000.00;
",31,0,0,0,0,0,0,10.00,11.00,-1000.00,9.18,10,0
12930.355556,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:86;temph:89;tof:10;h:0;bat:31;baro:9.22;time:0;agx:9.00;agy:12.00;agz:-998.00;

",31,0,0,0,0,0,0,9.00,12.00,-998.00,9.22,10,0
12930.457161,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:86;temph:89;tof:10;h:0;bat:31;baro:9.15;time:0;agx:11.00;agy:12.00;agz:-998.00;

",31,0,0,0,0,0,0,11.00,12.00,-998.00,9.15,10,0
