t_sec,raw,bat,pitch,roll,yaw,vgx,vgy,vgz,agx,agy,agz,baro,tof,h
8922.683241,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:75;temph:77;tof:10;h:0;bat:55;baro:14.71;time:0;agx:0.00;agy:18.00;agz:-996.00;
",55,0,0,0,0,0,0,0.00,18.00,-996.00,14.71,10,0
8922.762600,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:75;temph:77;tof:10;h:0;bat:55;baro:14.71;time:0;agx:2.00;agy:17.00;agz:-1000.00;
c",55,0,0,0,0,0,0,2.00,17.00,-1000.00,14.71,10,0
8922.864626,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:75;temph:77;tof:10;h:0;bat:55;baro:14.72;time:0;agx:2.00;agy:18.00;agz:-1001.00;
c",55,0,0,0,0,0,0,2.00,18.00,-1001.00,14.72,10,0
8922.990348,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:75;temph:77;tof:10;h:0;bat:55;baro:14.73;time:0;agx:2.00;agy:17.00;agz:-998.00;

c",55,0,0,0,0,0,0,2.00,17.00,-998.00,14.73,10,0
8923.068673,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:75;temph:77;tof:10;h:0;bat:55;baro:14.73;time:0;agx:1.00;agy:18.00;agz:-1000.00;
c",55,0,0,0,0,0,0,1.00,18.00,-1000.00,14.73,10,0
8923.195210,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:75;temph:77;tof:10;h:0;bat:55;baro:14.72;time:0;agx:1.00;agy:18.00;agz:-1000.00;
c",55,0,0,0,0,0,0,1.00,18.00,-1000.00,14.72,10,0
8923.272616,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:75;temph:77;tof:10;h:0;bat:55;baro:14.70;time:0;agx:1.00;agy:19.00;agz:-998.00;

c",55,0,0,0,0,0,0,1.00,19.00,-998.00,14.70,10,0
8923.400220,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:75;temph:77;tof:10;h:0;bat:55;baro:14.73;time:0;agx:1.00;agy:18.00;agz:-998.00;

c",55,0,0,0,0,0,0,1.00,18.00,-998.00,14.73,10,0
8923.476879,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:75;temph:77;tof:10;h:0;bat:55;baro:14.68;time:0;agx:3.00;agy:18.00;agz:-999.00;

c",55,0,0,0,0,0,0,3.00,18.00,-999.00,14.68,10,0
8923.578734,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:75;temph:77;tof:10;h:0;bat:55;baro:14.75;time:0;agx:2.00;agy:17.00;agz:-1002.00;
c",55,0,0,0,0,0,0,2.00,17.00,-1002.00,14.75,10,0
