t_sec,raw,bat,pitch,roll,yaw,vgx,vgy,vgz,agx,agy,agz,baro,tof,h
7826.918054,"pitch:47;roll:-48;yaw:56;vgx:0;vgy:0;vgz:0;templ:72;temph:76;tof:10;h:0;bat:73;baro:16.40;time:0;agx:735.00;agy:504.00;agz:-483.00;
",73,47,-48,56,0,0,0,735.00,504.00,-483.00,16.40,10,0
7827.019982,"pitch:48;roll:-47;yaw:55;vgx:0;vgy:0;vgz:0;templ:72;temph:76;tof:10;h:0;bat:73;baro:16.34;time:0;agx:750.00;agy:509.00;agz:-468.00;
",73,48,-47,55,0,0,0,750.00,509.00,-468.00,16.34,10,0
7827.121923,"pitch:48;roll:-49;yaw:54;vgx:0;vgy:0;vgz:0;templ:72;temph:76;tof:10;h:0;bat:73;baro:16.34;time:0;agx:737.00;agy:514.00;agz:-413.00;
",73,48,-49,54,0,0,0,737.00,514.00,-413.00,16.34,10,0
7827.223785,"pitch:48;roll:-49;yaw:55;vgx:0;vgy:0;vgz:0;templ:72;temph:76;tof:10;h:0;bat:73;baro:16.38;time:0;agx:743.00;agy:521.00;agz:-448.00;
",73,48,-49,55,0,0,0,743.00,521.00,-448.00,16.38,10,0
7827.325860,"pitch:48;roll:-48;yaw:56;vgx:0;vgy:0;vgz:0;templ:72;temph:76;tof:10;h:0;bat:73;baro:16.42;time:0;agx:755.00;agy:451.00;agz:-489.00;
",73,48,-48,56,0,0,0,755.00,451.00,-489.00,16.42,10,0
7827.512265,"pitch:48;roll:-46;yaw:57;vgx:0;vgy:0;vgz:0;templ:72;temph:76;tof:10;h:0;bat:73;baro:16.37;time:0;agx:750.00;agy:483.00;agz:-478.00;
",73,48,-46,57,0,0,0,750.00,483.00,-478.00,16.37,10,0
7827.530326,"pitch:49;roll:-45;yaw:57;vgx:0;vgy:0;vgz:0;templ:72;temph:76;tof:10;h:0;bat:73;baro:16.41;time:0;agx:743.00;agy:475.00;agz:-463.00;
",73,49,-45,57,0,0,0,743.00,475.00,-463.00,16.41,10,0
7827.716684,"pitch:49;roll:-45;yaw:57;vgx:0;vgy:0;vgz:0;templ:73;temph:76;tof:10;h:0;bat:73;baro:16.43;time:0;agx:740.00;agy:467.00;agz:-462.00;
",73,49,-45,57,0,0,0,740.00,467.00,-462.00,16.43,10,0
7827.734316,"pitch:49;roll:-43;yaw:58;vgx:0;vgy:0;vgz:0;templ:73;temph:76;tof:10;h:0;bat:73;baro:16.40;time:0;agx:752.00;agy:425.00;agz:-477.00;
",73,49,-43,58,0,0,0,752.00,425.00,-477.00,16.40,10,0
7827.835876,"pitch:51;roll:-40;yaw:61;vgx:0;vgy:0;vgz:0;templ:73;temph:76;tof:10;h:0;bat:73;baro:16.37;time:0;agx:781.00;agy:361.00;agz:-512.00;
",73,51,-40,61,0,0,0,781.00,361.00,-512.00,16.37,10,0
7827.937791,"pitch:53;roll:-28;yaw:71;vgx:0;vgy:0;vgz:0;templ:73;temph:76;tof:10;h:0;bat:73;baro:16.41;time:0;agx:758.00;agy:290.00;agz:-532.00;
",73,53,-28,71,0,0,0,758.00,290.00,-532.00,16.41,10,0
7828.039732,"pitch:54;roll:-16;yaw:83;vgx:0;vgy:0;vgz:0;templ:73;temph:76;tof:10;h:0;bat:73;baro:16.43;time:0;agx:769.00;agy:219.00;agz:-541.00;
",73,54,-16,83,0,0,0,769.00,219.00,-541.00,16.43,10,0
