t_sec,raw,bat,pitch,roll,yaw,vgx,vgy,vgz,agx,agy,agz,baro,tof,h
7464.086785,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:92;temph:95;tof:10;h:0;bat:77;baro:16.26;time:0;agx:4.00;agy:4.00;agz:-998.00;
",77,0,0,0,0,0,0,4.00,4.00,-998.00,16.26,10,0
7464.188845,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:92;temph:95;tof:10;h:0;bat:77;baro:16.30;time:0;agx:4.00;agy:5.00;agz:-999.00;
",77,0,0,0,0,0,0,4.00,5.00,-999.00,16.30,10,0
7464.291074,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:92;temph:95;tof:10;h:0;bat:77;baro:16.29;time:0;agx:3.00;agy:3.00;agz:-999.00;
",77,0,0,0,0,0,0,3.00,3.00,-999.00,16.29,10,0
7464.392726,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:92;temph:95;tof:10;h:0;bat:77;baro:16.26;time:0;agx:5.00;agy:3.00;agz:-999.00;
",77,0,0,0,0,0,0,5.00,3.00,-999.00,16.26,10,0
7464.494790,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:92;temph:95;tof:10;h:0;bat:77;baro:16.27;time:0;agx:4.00;agy:3.00;agz:-998.00;
",77,0,0,0,0,0,0,4.00,3.00,-998.00,16.27,10,0
7464.596647,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:92;temph:95;tof:10;h:0;bat:77;baro:16.28;time:0;agx:4.00;agy:1.00;agz:-1000.00;
",77,0,0,0,0,0,0,4.00,1.00,-1000.00,16.28,10,0
7464.763418,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:92;temph:95;tof:10;h:0;bat:77;baro:16.22;time:0;agx:4.00;agy:2.00;agz:-1001.00;
",77,0,0,0,0,0,0,4.00,2.00,-1001.00,16.22,10,0
7464.800350,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:92;temph:95;tof:10;h:0;bat:77;baro:16.29;time:0;agx:2.00;agy:3.00;agz:-999.00;

",77,0,0,0,0,0,0,2.00,3.00,-999.00,16.29,10,0
7464.969074,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:93;temph:95;tof:10;h:0;bat:77;baro:16.28;time:0;agx:3.00;agy:5.00;agz:-1000.00;
",77,0,0,0,0,0,0,3.00,5.00,-1000.00,16.28,10,0
7465.004292,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:93;temph:95;tof:10;h:0;bat:77;baro:16.29;time:0;agx:4.00;agy:4.00;agz:-1001.00;
",77,0,0,0,0,0,0,4.00,4.00,-1001.00,16.29,10,0
7465.106348,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:93;temph:95;tof:10;h:0;bat:77;baro:16.30;time:0;agx:4.00;agy:2.00;agz:-999.00;

",77,0,0,0,0,0,0,4.00,2.00,-999.00,16.30,10,0
7465.209126,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:93;temph:95;tof:10;h:0;bat:77;baro:16.31;time:0;agx:3.00;agy:3.00;agz:-997.00;

",77,0,0,0,0,0,0,3.00,3.00,-997.00,16.31,10,0
7465.310620,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:93;temph:95;tof:10;h:0;bat:77;baro:16.28;time:0;agx:5.00;agy:2.00;agz:-1000.00;
",77,0,0,0,0,0,0,5.00,2.00,-1000.00,16.28,10,0
7465.412421,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:93;temph:95;tof:10;h:0;bat:77;baro:16.31;time:0;agx:3.00;agy:3.00;agz:-1000.00;
",77,0,0,0,0,0,0,3.00,3.00,-1000.00,16.31,10,0
7465.514506,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:93;temph:95;tof:10;h:0;bat:77;baro:16.29;time:0;agx:4.00;agy:3.00;agz:-1002.00;
",77,0,0,0,0,0,0,4.00,3.00,-1002.00,16.29,10,0
7465.619935,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:93;temph:95;tof:10;h:0;bat:77;baro:16.34;time:0;agx:4.00;agy:3.00;agz:-998.00;

",77,0,0,0,0,0,0,4.00,3.00,-998.00,16.34,10,0
7465.723653,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:93;temph:95;tof:10;h:0;bat:77;baro:16.30;time:0;agx:4.00;agy:3.00;agz:-1000.00;
",77,0,0,0,0,0,0,4.00,3.00,-1000.00,16.30,10,0
7465.820454,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:93;temph:95;tof:10;h:0;bat:77;baro:16.31;time:0;agx:3.00;agy:3.00;agz:-997.00;

",77,0,0,0,0,0,0,3.00,3.00,-997.00,16.31,10,0
7465.922347,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:94;temph:95;tof:10;h:0;bat:77;baro:16.30;time:0;agx:5.00;agy:4.00;agz:-1001.00;
",77,0,0,0,0,0,0,5.00,4.00,-1001.00,16.30,10,0
7466.024441,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:94;temph:95;tof:10;h:0;bat:77;baro:16.26;time:0;agx:4.00;agy:5.00;agz:-1000.00;
",77,0,0,0,0,0,0,4.00,5.00,-1000.00,16.26,10,0
7466.126341,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:94;temph:95;tof:10;h:0;bat:77;baro:16.33;time:0;agx:3.00;agy:4.00;agz:-1000.00;
",77,0,0,0,0,0,0,3.00,4.00,-1000.00,16.33,10,0
7466.228949,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:94;temph:95;tof:10;h:0;bat:77;baro:16.29;time:0;agx:3.00;agy:2.00;agz:-997.00;

",77,0,0,0,0,0,0,3.00,2.00,-997.00,16.29,10,0
7466.330398,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:94;temph:95;tof:10;h:0;bat:77;baro:16.29;time:0;agx:3.00;agy:2.00;agz:-996.00;

",77,0,0,0,0,0,0,3.00,2.00,-996.00,16.29,10,0
7466.432351,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:94;temph:95;tof:10;h:0;bat:77;baro:16.26;time:0;agx:3.00;agy:4.00;agz:-1000.00;
",77,0,0,0,0,0,0,3.00,4.00,-1000.00,16.26,10,0
7466.534303,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:94;temph:95;tof:10;h:0;bat:77;baro:16.27;time:0;agx:4.00;agy:4.00;agz:-999.00;

",77,0,0,0,0,0,0,4.00,4.00,-999.00,16.27,10,0
7466.636449,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:94;temph:95;tof:10;h:0;bat:77;baro:16.31;time:0;agx:4.00;agy:3.00;agz:-1000.00;
",77,0,0,0,0,0,0,4.00,3.00,-1000.00,16.31,10,0
7466.687437,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:94;temph:95;tof:10;h:0;bat:77;baro:16.29;time:0;agx:3.00;agy:4.00;agz:-1000.00;
",77,0,0,0,0,0,0,3.00,4.00,-1000.00,16.29,10,0
