t_sec,raw,bat,pitch,roll,yaw,vgx,vgy,vgz,agx,agy,agz,baro,tof,h
7432.865440,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:89;temph:90;tof:10;h:0;bat:78;baro:16.40;time:0;agx:5.00;agy:5.00;agz:-998.00;
",78,0,0,0,0,0,0,5.00,5.00,-998.00,16.40,10,0
7432.967446,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:89;temph:90;tof:10;h:0;bat:78;baro:16.43;time:0;agx:5.00;agy:3.00;agz:-999.00;
",78,0,0,0,0,0,0,5.00,3.00,-999.00,16.43,10,0
7433.069305,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:89;temph:90;tof:10;h:0;bat:78;baro:16.44;time:0;agx:4.00;agy:4.00;agz:-1001.00;
",78,0,0,0,0,0,0,4.00,4.00,-1001.00,16.44,10,0
7433.171213,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:89;temph:90;tof:10;h:0;bat:78;baro:16.47;time:0;agx:3.00;agy:2.00;agz:-999.00;

",78,0,0,0,0,0,0,3.00,2.00,-999.00,16.47,10,0
7433.273430,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:89;temph:90;tof:10;h:0;bat:78;baro:16.39;time:0;agx:3.00;agy:3.00;agz:-999.00;

",78,0,0,0,0,0,0,3.00,3.00,-999.00,16.39,10,0
7433.375261,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:89;temph:90;tof:10;h:0;bat:78;baro:16.47;time:0;agx:4.00;agy:3.00;agz:-1001.00;
",78,0,0,0,0,0,0,4.00,3.00,-1001.00,16.47,10,0
7433.477433,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:89;temph:90;tof:10;h:0;bat:78;baro:16.41;time:0;agx:5.00;agy:4.00;agz:-999.00;

",78,0,0,0,0,0,0,5.00,4.00,-999.00,16.41,10,0
7433.579428,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:89;temph:90;tof:10;h:0;bat:78;baro:16.46;time:0;agx:5.00;agy:3.00;agz:-1001.00;
",78,0,0,0,0,0,0,5.00,3.00,-1001.00,16.46,10,0
7433.681345,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:89;temph:90;tof:10;h:0;bat:78;baro:16.45;time:0;agx:4.00;agy:5.00;agz:-1001.00;
",78,0,0,0,0,0,0,4.00,5.00,-1001.00,16.45,10,0
7433.783315,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:89;temph:91;tof:10;h:0;bat:78;baro:16.40;time:0;agx:6.00;agy:2.00;agz:-998.00;

",78,0,0,0,0,0,0,6.00,2.00,-998.00,16.40,10,0
7433.886452,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:89;temph:91;tof:10;h:0;bat:78;baro:16.41;time:0;agx:4.00;agy:4.00;agz:-1001.00;
",78,0,0,0,0,0,0,4.00,4.00,-1001.00,16.41,10,0
7433.988077,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:89;temph:91;tof:10;h:0;bat:78;baro:16.40;time:0;agx:4.00;agy:4.00;agz:-998.00;

",78,0,0,0,0,0,0,4.00,4.00,-998.00,16.40,10,0
7434.090190,"pitch:0;roll:0;yaw:0;vgx:0;vgy:0;vgz:0;templ:89;temph:91;tof:10;h:0;bat:78;baro:16.40;time:0;agx:4.00;agy:3.00;agz:-1001.00;
",78,0,0,0,0,0,0,4.00,3.00,-1001.00,16.40,10,0
