t_sec,raw,bat,pitch,roll,yaw,vgx,vgy,vgz,agx,agy,agz,baro,tof,h
9192.609836,"pitch:0;roll:-1;yaw:0;vgx:0;vgy:0;vgz:0;templ:87;temph:89;tof:10;h:0;bat:50;baro:13.99;time:0;agx:1.00;agy:18.00;agz:-1002.00;
OÁØ¡{",50,0,-1,0,0,0,0,1.00,18.00,-1002.00,13.99,10,0
9192.711641,"pitch:0;roll:-1;yaw:0;vgx:0;vgy:0;vgz:0;templ:87;temph:89;tof:10;h:0;bat:50;baro:14.04;time:0;agx:-8.00;agy:18.00;agz:-1001.00;
ÁØ¡{",50,0,-1,0,0,0,0,-8.00,18.00,-1001.00,14.04,10,0
9192.813871,"pitch:0;roll:-1;yaw:0;vgx:0;vgy:0;vgz:0;templ:87;temph:89;tof:10;h:0;bat:50;baro:13.98;time:0;agx:0.00;agy:20.00;agz:-1000.00;

ÁØ¡{",50,0,-1,0,0,0,0,0.00,20.00,-1000.00,13.98,10,0
9192.915850,"pitch:0;roll:-1;yaw:0;vgx:0;vgy:0;vgz:0;templ:87;temph:89;tof:10;h:0;bat:50;baro:13.97;time:0;agx:-1.00;agy:21.00;agz:-1001.00;
ÁØ¡{",50,0,-1,0,0,0,0,-1.00,21.00,-1001.00,13.97,10,0
9193.018039,"pitch:0;roll:-1;yaw:0;vgx:0;vgy:0;vgz:0;templ:87;temph:89;tof:10;h:0;bat:50;baro:13.97;time:0;agx:-4.00;agy:20.00;agz:-1000.00;
ÁØ¡{",50,0,-1,0,0,0,0,-4.00,20.00,-1000.00,13.97,10,0
9193.120101,"pitch:0;roll:-1;yaw:0;vgx:0;vgy:0;vgz:0;templ:87;temph:89;tof:10;h:0;bat:50;baro:13.99;time:0;agx:-2.00;agy:18.00;agz:-998.00;

ÁØ¡{",50,0,-1,0,0,0,0,-2.00,18.00,-998.00,13.99,10,0
9193.221969,"pitch:0;roll:-1;yaw:0;vgx:0;vgy:0;vgz:0;templ:87;temph:89;tof:10;h:0;bat:50;baro:13.98;time:0;agx:0.00;agy:20.00;agz:-1002.00;

ÁØ¡{",50,0,-1,0,0,0,0,0.00,20.00,-1002.00,13.98,10,0
9193.324342,"pitch:0;roll:-1;yaw:0;vgx:0;vgy:0;vgz:0;templ:87;temph:89;tof:10;h:0;bat:50;baro:13.91;time:0;agx:1.00;agy:20.00;agz:-998.00;


ÁØ¡{",50,0,-1,0,0,0,0,1.00,20.00,-998.00,13.91,10,0
9193.426106,"pitch:0;roll:-1;yaw:0;vgx:0;vgy:0;vgz:0;templ:87;temph:89;tof:10;h:0;bat:50;baro:13.94;time:0;agx:2.00;agy:19.00;agz:-1001.00;

ÁØ¡{",50,0,-1,0,0,0,0,2.00,19.00,-1001.00,13.94,10,0
9193.528431,"pitch:0;roll:-1;yaw:0;vgx:0;vgy:0;vgz:0;templ:87;temph:89;tof:10;h:0;bat:50;baro:13.98;time:0;agx:-1.00;agy:20.00;agz:-999.00;

ÁØ¡{",50,0,-1,0,0,0,0,-1.00,20.00,-999.00,13.98,10,0
9193.630383,"pitch:0;roll:-1;yaw:0;vgx:0;vgy:0;vgz:0;templ:87;temph:89;tof:10;h:0;bat:50;baro:13.96;time:0;agx:0.00;agy:20.00;agz:-999.00;


ÁØ¡{",50,0,-1,0,0,0,0,0.00,20.00,-999.00,13.96,10,0
9193.734585,"pitch:0;roll:-1;yaw:0;vgx:0;vgy:0;vgz:0;templ:87;temph:89;tof:10;h:0;bat:50;baro:13.99;time:0;agx:0.00;agy:20.00;agz:-1001.00;

ÁØ¡{",50,0,-1,0,0,0,0,0.00,20.00,-1001.00,13.99,10,0
9193.835360,"pitch:0;roll:-1;yaw:0;vgx:0;vgy:0;vgz:0;templ:87;temph:89;tof:10;h:0;bat:50;baro:13.97;time:0;agx:-1.00;agy:19.00;agz:-999.00;

ÁØ¡{",50,0,-1,0,0,0,0,-1.00,19.00,-999.00,13.97,10,0
9193.886077,"pitch:0;roll:-1;yaw:0;vgx:0;vgy:0;vgz:0;templ:87;temph:89;tof:10;h:0;bat:50;baro:13.93;time:0;agx:2.00;agy:19.00;agz:-1000.00;

ÁØ¡{",50,0,-1,0,0,0,0,2.00,19.00,-1000.00,13.93,10,0
9193.987909,"pitch:0;roll:-1;yaw:0;vgx:0;vgy:0;vgz:0;templ:87;temph:89;tof:10;h:0;bat:50;baro:13.99;time:0;agx:2.00;agy:19.00;agz:-998.00;


ÁØ¡{",50,0,-1,0,0,0,0,2.00,19.00,-998.00,13.99,10,0
9194.090034,"pitch:0;roll:-1;yaw:0;vgx:0;vgy:0;vgz:0;templ:87;temph:89;tof:10;h:0;bat:50;baro:14.00;time:0;agx:0.00;agy:19.00;agz:-1000.00;

ÁØ¡{",50,0,-1,0,0,0,0,0.00,19.00,-1000.00,14.00,10,0
9194.192216,"pitch:0;roll:-1;yaw:0;vgx:0;vgy:0;vgz:0;templ:87;temph:89;tof:10;h:0;bat:50;baro:14.00;time:0;agx:0.00;agy:20.00;agz:-1003.00;

ÁØ¡{",50,0,-1,0,0,0,0,0.00,20.00,-1003.00,14.00,10,0
9194.294836,"pitch:0;roll:-1;yaw:0;vgx:0;vgy:0;vgz:0;templ:87;temph:89;tof:10;h:0;bat:50;baro:14.02;time:0;agx:2.00;agy:19.00;agz:-998.00;


ÁØ¡{",50,0,-1,0,0,0,0,2.00,19.00,-998.00,14.02,10,0
9194.398679,"pitch:0;roll:-1;yaw:0;vgx:0;vgy:0;vgz:0;templ:87;temph:89;tof:10;h:0;bat:50;baro:13.97;time:0;agx:1.00;agy:19.00;agz:-999.00;


ÁØ¡{",50,0,-1,0,0,0,0,1.00,19.00,-999.00,13.97,10,0
9194.501437,"pitch:0;roll:-1;yaw:0;vgx:0;vgy:0;vgz:0;templ:87;temph:89;tof:10;h:0;bat:50;baro:14.01;time:0;agx:-1.00;agy:18.00;agz:-1000.00;
ÁØ¡{",50,0,-1,0,0,0,0,-1.00,18.00,-1000.00,14.01,10,0
9194.602733,"pitch:0;roll:-1;yaw:0;vgx:0;vgy:0;vgz:0;templ:87;temph:89;tof:10;h:0;bat:50;baro:13.99;time:0;agx:0.00;agy:21.00;agz:-999.00;

ÁØ¡{",50,0,-1,0,0,0,0,0.00,21.00,-999.00,13.99,10,0
